WORD,COUNT
landing,8
leather,8
lighter,8
longed,8
lumpkin,8
lunch,8
marked,8
merely,8
meriadoc,8
messengers,8
miller,8
miserable,8
missed,8
moonlight,8
mouths,8
nadan,8
naught,8
nay,8
nearest,8
nobody,8
northwards,8
offered,8
ordinary,8
original,8
orthanc,8
packed,8
pavilion,8
picking,8
pleased,8
plenty,8
pointed,8
preserved,8
price,8
promised,8
proud,8
pursued,8
pushed,8
queen,8
reappeared,8
reckoned,8
records,8
region,8
reluctant,8
rested,8
returning,8
rightly,8
rim,8
rippling,8
row,8
rubbed,8
ruined,8
rumour,8
rush,8
sarn,8
search,8
settled,8
shaken,8
shuddered,8
size,8
smell,8
somewhere,8
sorrow,8
sounded,8
sped,8
steady,8
steel,8
steeply,8
stooping,8
stray,8
stroke,8
study,8
stumbled,8
sunset,8
surface,8
tells,8
terrified,8
threshold,8
throwing,8
tol,8
tunnel,8
tunnels,8
turns,8
twisted,8
uneasy,8
unexpected,8
upwards,8
vague,8
vale,8
watchful,8
wave,8
whither,8
wider,8
worth,8
wrote,8
accepted,7
accounts,7
advanced,7
agree,7
allow,7
although,7
arrived,7
beaten,7
bell,7
belongs,7
bending,7
bleak,7
blind,7
blindly,7
box,7
brings,7
broader,7
bubbling,7
building,7
burdens,7
carved,7
cautiously,7
cheerful,7
clock,7
clop,7
clothed,7
commanding,7
complete,7
considering,7
constantly,7
crawled,7
curled,7
cutting,7
dancing,7
daresay,7
dealings,7
declared,7
depths,7
descended,7
doorway,7
due,7
dwindled,7
e,7
eight,7
enchanted,7
familiar,7
fangorn,7
fare,7
fierce,7
fiery,7
fill,7
finally,7
fold,7
foolish,7
form,7
forms,7
forsaken,7
gems,7
glinting,7
gravely,7
grimly,7
happily,7
heal,7
healing,7
heather,7
helm,7
hesitated,7
holiday,7
honour,7
host,7
hue,7
hundreds,7
icy,7
inquisitive,7
intently,7
invited,7
lantern,7
liking,7
louder,7
luggage,7
mad,7
madness,7
maker,7
makes,7
malice,7
match,7
melt,7
members,7
memories,7
mingled,7
minutes,7
mirrormere,7
mounds,7
mount,7
movements,7
naked,7
necessary,7
nedain,7
nodded,7
numerous,7
obliged,7
obviously,7
occasion,7
occasionally,7
orders,7
paddles,7
partly,7
pay,7
permitted,7
pick,7
pit,7
porch,7
prancing,7
pulled,7
quicker,7
ram,7
rear,7
recalled,7
refuse,7
refused,7
rendil,7
report,7
reveal,7
rid,7
ridiculous,7
rivers,7
roused,7
ruins,7
rushing,7
rustle,7
sadly,7
sandyman,7
secretly,7
september,7
serious,7
service,7
settle,7
sheltered,7
shine,7
shivered,7
shouldn,7
shown,7
simply,7
sinking,7
skin,7
sleepy,7
slip,7
slipping,7
sloping,7
smials,7
smiths,7
smoking,7
somewhat,7
sons,7
spirits,7
spoons,7
spreading,7
starting,7
stir,7
streaming,7
studied,7
surprised,7
swan,7
tables,7
taught,7
test,7
thain,7
thicker,7
thorin,7
thousand,7
threat,7
thunder,7
token,7
trodden,7
troubles,7
trusted,7
twelve,7
useless,7
uses,7
valiant,7
visible,7
visit,7
wanderers,7
waning,7
wary,7
weed,7
whistled,7
wield,7
wights,7
wonderful,7
wooded,7
woodhall,7
woodland,7
worried,7
yards,7
yourselves,7
alarmed,6
anor,6
apple,6
approached,6
arched,6
archet,6
archway,6
astonished,6
astray,6
b,6
backwards,6
bagshot,6
bay,6
beating,6
beauty,6
becomes,6
begged,6
beheld,6
bells,6
belonged,6
besides,6
betrayed,6
bind,6
biting,6
blame,6
blanket,6
blown,6
boffins,6
border,6
bottles,6
bowing,6
brambles,6
brand,6
breeze,6
brother,6
butter,6
caras,6
cat,6
cause,6
centre,6
changes,6
changing,6
channel,6
cheerless,6
chorus,6
clapped,6
commanded,6
considered,6
copy,6
crash,6
crawling,6
crystal,6
curiously,6
current,6
dangers,6
darkly,6
dashed,6
debate,6
deeps,6
defence,6
denethor,6
derry,6
dew,6
dike,6
disaster,6
dog,6
dominion,6
doubtfully,6
doubtless,6
downhill,6
dragged,6
dreaded,6
dropped,6
eagle,6
eagles,6
ear,6
eaves,6
eh,6
elsewhere,6
endlessly,6
endured,6
entrance,6
eriador,6
everyone,6
exile,6
expression,6
failing,6
farm,6
feather,6
fellowship,6
fences,6
fetch,6
fight,6
file,6
firelight,6
firm,6
firmly,6
flats,6
flies,6
floating,6
footed,6
footsteps,6
forged,6
forgive,6
formed,6
former,6
frightened,6
frozen,6
fun,6
galadhon,6
galloping,6
gaze,6
gear,6
glamdring,6
glanced,6
glimpses,6
glow,6
greyflood,6
groped,6
groping,6
guldur,6
hadn,6
handed,6
happier,6
harder,6
hasn,6
health,6
heavens,6
heavily,6
heirs,6
hillside,6
holds,6
holly,6
howls,6
hoy,6
imladris,6
innkeeper,6
instance,6
instant,6
intended,6
keeper,6
key,6
kheled,6
kill,6
kindled,6
kinds,6
lack,6
lain,6
lanterns,6
largely,6
league,6
lesser,6
lifting,6
lightning,6
lip,6
lo,6
lock,6
loose,6
mainly,6
managed,6
marvellous,6
melted,6
mentioned,6
metal,6
month,6
months,6
mortals,6
mother,6
mounting,6
movement,6
mrs,6
murmured,6
mysterious,6
nameless,6
ninety,6
nonsense,6
nose,6
nowhere,6
numbers,6
oldest,6
ones,6
osgiliath,6
otho,6
overhead,6
packing,6
paid,6
painful,6
patches,6
perceived,6
pile,6
plant,6
planted,6
poetry,6
possess,6
presently,6
prevent,6
private,6
reared,6
recall,6
regarded,6
regret,6
relations,6
relatives,6
restless,6
ri,6
ril,6
ruin,6
ruling,6
saddle,6
safely,6
scared,6
scattered,6
senses,6
servant,6
served,6
shimmering,6
shivering,6
shouting,6
shrank,6
sighing,6
silly,6
sink,6
slanting,6
smelling,6
smote,6
snakes,6
snorted,6
splendid,6
springs,6
spy,6
stammered,6
steam,6
stem,6
stems,6
stoors,6
streams,6
struggled,6
stumbling,6
stupid,6
summoned,6
sunlit,6
sunrise,6
swim,6
swimming,6
tea,6
throne,6
toes,6
tomb,6
torment,6
tossed,6
tough,6
toward,6
towered,6
traveller,6
tray,6
trick,6
trotting,6
uncomfortable,6
unpleasant,6
venture,6
verses,6
victory,6
vigour,6
wanting,6
warmer,6
waving,6
